방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,단가,Mean,Std,goods_Mean,goods_Std
2019-02-01 22:00:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 슈퍼싱글침대,가구,548000,2,1,22,Friday,0,4,First,보루네오,00,15.816855413907687,해당없음,해당없음,슈퍼싱글침대,해당없음,15.982698726445513,0.7449333861548445,16.596905798079685,0.5589936123045197
2019-02-01 22:00:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 퀸침대,가구,598000,2,1,22,Friday,0,4,First,보루네오,00,14.998463995066135,해당없음,해당없음,퀸침대,해당없음,15.982698726445513,0.7449333861548445,16.13334222701223,0.9025478283974704
2019-02-01 22:00:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 킹침대,가구,648000,2,1,22,Friday,0,4,First,보루네오,00,15.477730655837345,해당없음,해당없음,킹침대,해당없음,15.982698726445513,0.7449333861548445,16.199786206974863,0.8874507857884751
2019-02-01 22:20:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 슈퍼싱글침대,가구,548000,2,1,22,Friday,0,4,Middle,보루네오,20,16.842644594657795,해당없음,해당없음,슈퍼싱글침대,해당없음,15.982698726445513,0.7449333861548445,16.596905798079685,0.5589936123045197
2019-02-01 22:20:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 퀸침대,가구,598000,2,1,22,Friday,0,4,Middle,보루네오,20,16.689131693123294,해당없음,해당없음,퀸침대,해당없음,15.982698726445513,0.7449333861548445,16.13334222701223,0.9025478283974704
2019-02-01 22:20:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 킹침대,가구,648000,2,1,22,Friday,0,4,Middle,보루네오,20,16.674104943299632,해당없음,해당없음,킹침대,해당없음,15.982698726445513,0.7449333861548445,16.199786206974863,0.8874507857884751
2019-02-01 22:40:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 슈퍼싱글침대,가구,548000,2,1,22,Friday,0,4,Later,보루네오,40,17.294131836591234,해당없음,해당없음,슈퍼싱글침대,해당없음,15.982698726445513,0.7449333861548445,16.596905798079685,0.5589936123045197
2019-02-01 22:40:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 퀸침대,가구,598000,2,1,22,Friday,0,4,Later,보루네오,40,17.33481684810642,해당없음,해당없음,퀸침대,해당없음,15.982698726445513,0.7449333861548445,16.13334222701223,0.9025478283974704
2019-02-01 22:40:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 킹침대,가구,648000,2,1,22,Friday,0,4,Later,보루네오,40,17.26107564069318,해당없음,해당없음,킹침대,해당없음,15.982698726445513,0.7449333861548445,16.199786206974863,0.8874507857884751
2019-02-04 20:00:00,20.0,보루네오 루나 유로탑 멀티수납형 LED 슈퍼싱글침대,가구,548000,2,4,20,Monday,2,3,First,보루네오,00,15.998636210920992,해당없음,해당없음,슈퍼싱글침대,해당없음,15.734879138666539,0.8772901632336941,16.52761143921259,1.0220413918804723
