방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,단가,Mean,Std,goods_Mean,goods_Std
2019-01-01 20:00:00,20.0,LG 통돌이 세탁기,가전,439000,1,1,20,Tuesday,2,3,First,LG,00,17.385578322538784,일시불,해당없음,세탁기,해당없음,16.475454991034354,0.8924274902864675,17.057223732019416,0.6757608269960913
2019-01-01 20:00:00,20.0,LG 통돌이 세탁기,가전,489000,1,1,20,Tuesday,2,3,First,LG,00,16.766402357045113,무이자,해당없음,세탁기,해당없음,16.475454991034354,0.8924274902864675,16.95652078713513,0.5627721219386276
2019-01-01 20:20:00,20.0,LG 통돌이 세탁기,가전,439000,1,1,20,Tuesday,2,3,Middle,LG,20,17.856085076976548,일시불,해당없음,세탁기,해당없음,16.475454991034354,0.8924274902864675,17.057223732019416,0.6757608269960913
2019-01-01 20:20:00,20.0,LG 통돌이 세탁기,가전,489000,1,1,20,Tuesday,2,3,Middle,LG,20,17.88769471551636,무이자,해당없음,세탁기,해당없음,16.475454991034354,0.8924274902864675,16.95652078713513,0.5627721219386276
2019-01-01 20:40:00,20.0,LG 통돌이 세탁기,가전,439000,1,1,20,Tuesday,2,3,Later,LG,40,18.039713107444587,일시불,해당없음,세탁기,해당없음,16.475454991034354,0.8924274902864675,17.057223732019416,0.6757608269960913
2019-01-01 20:40:00,20.0,LG 통돌이 세탁기,가전,489000,1,1,20,Tuesday,2,3,Later,LG,40,17.645629123770934,무이자,해당없음,세탁기,해당없음,16.475454991034354,0.8924274902864675,16.95652078713513,0.5627721219386276
2019-01-02 21:00:00,20.0,LG전자 매직스페이스 냉장고,가전,1409000,1,2,21,Wednesday,0,4,First,LG,00,16.48862418918559,일시불,해당없음,냉장고,해당없음,16.541170011929097,0.8484273011373737,17.232056258912422,0.5480285268053364
2019-01-02 21:00:00,20.0,LG전자 매직스페이스 냉장고,가전,1549000,1,2,21,Wednesday,0,4,First,LG,00,16.299249860000266,무이자,해당없음,냉장고,해당없음,16.541170011929097,0.8484273011373737,17.04667315225329,0.6141531588401257
2019-01-02 21:20:00,20.0,LG전자 매직스페이스 냉장고,가전,1409000,1,2,21,Wednesday,0,4,Middle,LG,20,17.046789149549518,일시불,해당없음,냉장고,해당없음,16.541170011929097,0.8484273011373737,17.232056258912422,0.5480285268053364
2019-01-02 21:20:00,20.0,LG전자 매직스페이스 냉장고,가전,1549000,1,2,21,Wednesday,0,4,Middle,LG,20,16.29707830648676,무이자,해당없음,냉장고,해당없음,16.541170011929097,0.8484273011373737,17.04667315225329,0.6141531588401257
2019-01-02 21:40:00,20.0,LG전자 매직스페이스 냉장고,가전,1409000,1,2,21,Wednesday,0,4,Later,LG,40,16.894158331845574,일시불,해당없음,냉장고,해당없음,16.541170011929097,0.8484273011373737,17.232056258912422,0.5480285268053364
2019-01-02 21:40:00,20.0,LG전자 매직스페이스 냉장고,가전,1549000,1,2,21,Wednesday,0,4,Later,LG,40,16.989179789994395,무이자,해당없음,냉장고,해당없음,16.541170011929097,0.8484273011373737,17.04667315225329,0.6141531588401257
2019-01-02 22:00:00,20.0,LG 울트라HD TV55인치,가전,1300000,1,2,22,Wednesday,0,4,First,LG,00,14.971447913251653,일시불,해당없음,TV55인치,해당없음,16.383594559025592,0.828283868655512,15.828057771132936,0.6243288490683755
2019-01-02 22:00:00,20.0,LG 울트라HD TV65인치,가전,1900000,1,2,22,Wednesday,0,4,First,LG,00,16.439889253038867,일시불,해당없음,TV65인치,해당없음,16.383594559025592,0.828283868655512,16.645810673315005,0.6855940932434329
2019-01-02 22:00:00,20.0,LG 울트라HD TV65인치,가전,2130000,1,2,22,Wednesday,0,4,First,LG,00,16.15046603098877,무이자,해당없음,TV65인치,해당없음,16.383594559025592,0.828283868655512,16.201216188037794,0.5936477314556102
2019-01-02 22:20:00,20.0,LG 울트라HD TV55인치,가전,1300000,1,2,22,Wednesday,0,4,Middle,LG,20,14.971447913251653,일시불,해당없음,TV55인치,해당없음,16.383594559025592,0.828283868655512,15.828057771132936,0.6243288490683755
2019-01-02 22:20:00,20.0,LG 울트라HD TV55인치,가전,1440000,1,2,22,Wednesday,0,4,First,LG,20,15.07991973109404,무이자,해당없음,TV55인치,해당없음,16.383594559025592,0.828283868655512,16.068096399251985,0.6240469614292101
