방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,단가,Mean,Std,goods_Mean,goods_Std
2019-01-02 07:00:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,2,7,Wednesday,0,2,First,종근당건강,00,16.51982043945076,해당없음,해당없음,영양제,해당없음,16.526631866721438,0.5611471941446172,16.961575004046836,0.3598269756080396
2019-01-02 07:20:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,2,7,Wednesday,0,2,Middle,종근당건강,20,17.069019666726824,해당없음,해당없음,영양제,해당없음,16.526631866721438,0.5611471941446172,16.961575004046836,0.3598269756080396
2019-01-02 07:40:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,2,7,Wednesday,0,2,Later,종근당건강,40,17.220899144244896,해당없음,해당없음,영양제,해당없음,16.526631866721438,0.5611471941446172,16.961575004046836,0.3598269756080396
2019-01-03 12:00:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,3,12,Thursday,0,3,First,종근당건강,00,16.732253735267893,해당없음,해당없음,영양제,해당없음,17.00324734427617,0.60093044600521,17.128631280992607,0.4567558191731226
2019-01-03 12:20:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,3,12,Thursday,0,3,Middle,종근당건강,20,17.02550707822588,해당없음,해당없음,영양제,해당없음,17.00324734427617,0.60093044600521,17.128631280992607,0.4567558191731226
2019-01-03 12:40:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,3,12,Thursday,0,3,Later,종근당건강,40,17.628133029484044,해당없음,해당없음,영양제,해당없음,17.00324734427617,0.60093044600521,17.128631280992607,0.4567558191731226
2019-01-04 06:00:00,20.0,제주농장 유기 건강즙 120포,건강기능,74900,1,4,6,Friday,0,4,First,제주농장,00,16.161059350390435,해당없음,해당없음,건강즙,해당없음,16.642929284050638,0.4931526031718091,16.801804737875415,0.7273417965007075
2019-01-04 06:20:00,20.0,제주농장 유기 건강즙 120포,건강기능,74900,1,4,6,Friday,0,4,Middle,제주농장,20,16.651953973834882,해당없음,해당없음,건강즙,해당없음,16.642929284050638,0.4931526031718091,16.801804737875415,0.7273417965007075
2019-01-04 06:40:00,20.0,제주농장 유기 건강즙 120포,건강기능,74900,1,4,6,Friday,0,4,Later,제주농장,40,17.592400889400924,해당없음,해당없음,건강즙,해당없음,16.642929284050638,0.4931526031718091,16.801804737875415,0.7273417965007075
2019-01-06 06:00:00,20.0,종근당건강 영양제 프라임,건강기능,89000,1,6,6,Sunday,1,4,First,종근당건강,00,15.836925662121763,해당없음,해당없음,영양제,해당없음,16.336983713282912,0.6742592118434588,16.571065701472644,0.5018099473044507
2019-01-06 06:20:00,20.0,종근당건강 영양제 프라임,건강기능,89000,1,6,6,Sunday,1,4,Middle,종근당건강,20,16.63157774318552,해당없음,해당없음,영양제,해당없음,16.336983713282912,0.6742592118434588,16.571065701472644,0.5018099473044507
2019-01-06 06:40:00,20.0,종근당건강 영양제 프라임,건강기능,89000,1,6,6,Sunday,1,4,Later,종근당건강,40,16.78633519581208,해당없음,해당없음,영양제,해당없음,16.336983713282912,0.6742592118434588,16.571065701472644,0.5018099473044507
2019-01-09 07:00:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,9,7,Wednesday,0,2,First,종근당건강,00,16.50410607123235,해당없음,해당없음,영양제,해당없음,16.526631866721438,0.5611471941446172,16.961575004046836,0.3598269756080396
2019-01-09 07:20:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,9,7,Wednesday,0,2,Middle,종근당건강,20,16.753189900069646,해당없음,해당없음,영양제,해당없음,16.526631866721438,0.5611471941446172,16.961575004046836,0.3598269756080396
2019-01-09 07:40:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,9,7,Wednesday,0,2,Later,종근당건강,40,17.136618008615667,해당없음,해당없음,영양제,해당없음,16.526631866721438,0.5611471941446172,16.961575004046836,0.3598269756080396
2019-01-10 11:00:00,20.0,(직매입) 종근당건강 아이클리어 영양제,건강기능,69000,1,10,11,Thursday,0,2,First,종근당건강,00,17.252300283329554,해당없음,해당없음,영양제,해당없음,17.065998060758908,0.7617318091886542,17.47540812145036,0.19486872723349397
