방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,Mean,Std
2019-01-01 15:00:00,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,1,1,15,Tuesday,2,1,First,뽕셰프,00,16.462606916396144,해당없음,해당없음,17.133262076778234,0.7373579162735433
2019-01-01 15:20:00,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,1,1,15,Tuesday,2,1,Middle,뽕셰프,20,17.293514647866196,해당없음,해당없음,17.133262076778234,0.7373579162735433
2019-01-01 15:40:00,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,1,1,15,Tuesday,2,1,Later,뽕셰프,40,17.49608058420707,해당없음,해당없음,17.133262076778234,0.7373579162735433
2019-01-01 16:00:00,20.0,국내산 손질갑오징어 8팩,농수축,49900,1,1,16,Tuesday,2,1,First,,00,17.922886508285067,해당없음,해당없음,17.48770778584337,0.41837465001842195
2019-01-01 16:20:00,20.0,국내산 손질갑오징어 8팩,농수축,49900,1,1,16,Tuesday,2,1,Later,,20,18.564408724235072,해당없음,해당없음,17.48770778584337,0.41837465001842195
2019-01-01 16:40:00,20.0,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,1,1,16,Tuesday,2,1,Later,농협,40,18.24505273529881,해당없음,해당없음,17.48770778584337,0.41837465001842195
2019-01-01 18:00:00,20.0,우리바다 손질왕꼬막 24팩,농수축,39900,1,1,18,Tuesday,2,1,First,,00,17.893895100607644,해당없음,해당없음,17.54552768708438,0.4928849918646465
2019-01-01 18:20:00,20.0,우리바다 손질왕꼬막 24팩,농수축,39900,1,1,18,Tuesday,2,1,Middle,,20,18.26912502762642,해당없음,해당없음,17.54552768708438,0.4928849918646465
2019-01-01 18:40:00,20.0,우리바다 손질왕꼬막 24팩,농수축,39900,1,1,18,Tuesday,2,1,Later,,40,18.435254035801826,해당없음,해당없음,17.54552768708438,0.4928849918646465
2019-01-02 13:00:00,20.0,하늘내린 용대리황태10미,농수축,32900,1,2,13,Wednesday,0,2,First,하늘내린,00,17.20325113493982,해당없음,해당없음,17.31611338032491,0.31606033109921583
2019-01-02 13:20:00,20.0,하늘내린 용대리황태10미,농수축,32900,1,2,13,Wednesday,0,2,Middle,하늘내린,20,17.526200426342058,해당없음,해당없음,17.31611338032491,0.31606033109921583
2019-01-02 13:40:00,20.0,하늘내린 용대리황태10미,농수축,32900,1,2,13,Wednesday,0,2,Later,하늘내린,40,17.564214313723877,해당없음,해당없음,17.31611338032491,0.31606033109921583
2019-01-02 15:00:00,20.0,안동간고등어 20팩,농수축,30900,1,2,15,Wednesday,0,1,First,,00,17.546539125586367,해당없음,해당없음,17.479815361937597,0.40907496085586503
2019-01-02 15:20:00,20.0,안동간고등어 20팩,농수축,30900,1,2,15,Wednesday,0,1,Middle,,20,17.580586872413665,해당없음,해당없음,17.479815361937597,0.40907496085586503
