방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,단가,Mean,Std
2019-01-02 06:00:00,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,1,2,6,Wednesday,0,4,First,벨라홈,00,16.077794354184793,해당없음,해당없음,벨라홈,해당없음,15.444664489885415,1.237156844553822
2019-01-02 06:20:00,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,1,2,6,Wednesday,0,4,Middle,벨라홈,20,16.237211131848483,해당없음,해당없음,벨라홈,해당없음,15.444664489885415,1.237156844553822
2019-01-02 06:40:00,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,1,2,6,Wednesday,0,4,Later,벨라홈,40,16.480722845056384,해당없음,해당없음,벨라홈,해당없음,15.444664489885415,1.237156844553822
2019-01-03 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,3,20,Thursday,0,3,First,노비타,00,17.533536107808914,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-01-03 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,3,20,Thursday,0,3,Middle,노비타,20,18.24626783122645,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-01-03 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,3,20,Thursday,0,3,Later,노비타,40,18.492238323761466,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-01-04 01:00:00,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,1,4,1,Friday,0,4,First,벨라홈,00,16.095850042011,해당없음,해당없음,벨라홈,해당없음,16.050391596752945,0.9846009187283895
2019-01-04 01:20:00,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,1,4,1,Friday,0,4,Middle,벨라홈,20,16.712747584769165,해당없음,해당없음,벨라홈,해당없음,16.050391596752945,0.9846009187283895
2019-01-04 01:40:00,17.1,벨라홈 논슬립 옷걸이 세트,생활용품,29800,1,4,1,Friday,0,4,Later,벨라홈,40,16.858794133376488,해당없음,해당없음,벨라홈,해당없음,16.050391596752945,0.9846009187283895
2019-01-04 07:00:00,20.0,코이모 리빙박스 8종,생활용품,49800,1,4,7,Friday,0,2,First,코이모,00,16.134559376988985,해당없음,해당없음,코이모,해당없음,16.042096591562817,0.9897034671577558
2019-01-04 07:20:00,20.0,코이모 리빙박스 8종,생활용품,49800,1,4,7,Friday,0,2,Middle,코이모,20,17.25246110933225,해당없음,해당없음,코이모,해당없음,16.042096591562817,0.9897034671577558
2019-01-04 07:40:00,20.0,코이모 리빙박스 8종,생활용품,49800,1,4,7,Friday,0,2,Later,코이모,40,17.411534317558857,해당없음,해당없음,코이모,해당없음,16.042096591562817,0.9897034671577558
2019-01-06 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,6,19,Sunday,1,3,First,노비타,00,17.08583966442139,해당없음,해당없음,노비타,해당없음,16.513164256253155,1.113084056797187
