방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,단가,Mean,Std,goods_Mean,goods_Std
2019-01-01 07:00:00,20.0,오모떼 레이스 파운데이션 브라팬티 팬티,속옷,59000,1,1,7,Tuesday,2,2,First,오모떼,00,15.73522339150279,해당없음,해당없음,브라팬티,해당없음,16.823333934000402,0.6957271301660131,17.0167991175436,0.7577996231161843
2019-01-01 07:20:00,20.0,오모떼 레이스 파운데이션 브라팬티 팬티,속옷,59000,1,1,7,Tuesday,2,2,Middle,오모떼,20,16.568470387815093,해당없음,해당없음,브라팬티,해당없음,16.823333934000402,0.6957271301660131,17.0167991175436,0.7577996231161843
2019-01-01 07:40:00,20.0,오모떼 레이스 파운데이션 브라팬티 팬티,속옷,59000,1,1,7,Tuesday,2,2,Later,오모떼,40,17.049077931575464,해당없음,해당없음,브라팬티,해당없음,16.823333934000402,0.6957271301660131,17.0167991175436,0.7577996231161843
2019-01-01 11:00:00,20.0,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,1,1,11,Tuesday,2,2,First,크로커다일,00,17.015448181812225,해당없음,해당없음,브라팬티,해당없음,17.374187885388185,0.41632798462094617,17.53990971401577,0.36707016447261703
2019-01-01 11:20:00,20.0,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,1,1,11,Tuesday,2,2,Later,크로커다일,20,17.724107701824227,해당없음,해당없음,브라팬티,해당없음,17.374187885388185,0.41632798462094617,17.53990971401577,0.36707016447261703
2019-01-01 13:00:00,30.0,오모떼 360도 텐션업 브라팬티 시즌4,속옷,109000,1,1,13,Tuesday,2,2,First,오모떼,00,17.28974152530984,해당없음,해당없음,브라팬티,해당없음,17.432613869864333,0.4335843118153379,17.561037879554284,0.5239468026915439
2019-01-01 13:30:00,30.0,오모떼 360도 텐션업 브라팬티 시즌4,속옷,109000,1,1,13,Tuesday,2,2,Later,오모떼,30,18.188408149435936,해당없음,해당없음,브라팬티,해당없음,17.432613869864333,0.4335843118153379,17.561037879554284,0.5239468026915439
2019-01-01 19:00:00,20.0,푸마 에어핏 서포트 브라팬티 15종+4종,속옷,119000,1,1,19,Tuesday,2,3,First,푸마,00,17.41610509721064,해당없음,해당없음,브라팬티,해당없음,16.202511621600074,1.0350864833844844,17.908110134373935,0.4375409616595435
2019-01-01 19:20:00,20.0,푸마 에어핏 서포트 브라팬티 15종+4종,속옷,119000,1,1,19,Tuesday,2,3,Middle,푸마,20,18.05466228501048,해당없음,해당없음,브라팬티,해당없음,16.202511621600074,1.0350864833844844,17.908110134373935,0.4375409616595435
2019-01-01 19:40:00,20.0,푸마 에어핏 서포트 브라팬티 15종+4종,속옷,119000,1,1,19,Tuesday,2,3,Later,푸마,40,18.253563020900685,해당없음,해당없음,브라팬티,해당없음,16.202511621600074,1.0350864833844844,17.908110134373935,0.4375409616595435
2019-01-01 23:00:00,20.0,로베르타 디 까메리노 올레이스 지퍼 브라팬티,속옷,89900,1,1,23,Tuesday,2,4,First,로베르타,00,16.95426033835319,해당없음,해당없음,브라팬티,해당없음,16.939530331737448,0.8482539579630045,17.261990098728216,0.5395288972172846
2019-01-01 23:20:00,20.0,로베르타 디 까메리노 올레이스 지퍼 브라팬티,속옷,89900,1,1,23,Tuesday,2,4,Middle,로베르타,20,17.490595301056022,해당없음,해당없음,브라팬티,해당없음,16.939530331737448,0.8482539579630045,17.261990098728216,0.5395288972172846
2019-01-01 23:40:00,20.0,로베르타 디 까메리노 올레이스 지퍼 브라팬티,속옷,89900,1,1,23,Tuesday,2,4,Later,로베르타,40,17.910021772965695,해당없음,해당없음,브라팬티,해당없음,16.939530331737448,0.8482539579630045,17.261990098728216,0.5395288972172846
