방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,Mean,Std,goods_Mean,goods_Std
2019-01-01 17:00:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,1,17,Tuesday,2,1,First,비버리힐스폴로클럽,00,17.558854522839617,해당없음,남성,스킨케어,17.524101837389033,0.48320225095362956,17.524101837389033,0.48320225095362956
2019-01-01 17:20:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,1,17,Tuesday,2,1,Middle,비버리힐스폴로클럽,20,18.112714328197878,해당없음,남성,스킨케어,17.524101837389033,0.48320225095362956,17.524101837389033,0.48320225095362956
2019-01-01 17:40:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,1,17,Tuesday,2,1,Later,비버리힐스폴로클럽,40,18.489301546230152,해당없음,남성,스킨케어,17.524101837389033,0.48320225095362956,17.524101837389033,0.48320225095362956
2019-01-03 08:00:00,20.0,엘렌실라 달팽이크림(콜라겐5+ 마스크/팩 트3),이미용,79000,1,3,8,Thursday,0,3,First,엘렌실라,00,16.430348377344306,해당없음,해당없음,마스크/팩,16.51433323596586,1.1966036492897854,16.979534536070613,0.49890222162222403
2019-01-03 08:20:00,20.0,엘렌실라 달팽이크림(콜라겐5+ 마스크/팩 트3),이미용,79000,1,3,8,Thursday,0,3,Middle,엘렌실라,20,17.103464584012077,해당없음,해당없음,마스크/팩,16.51433323596586,1.1966036492897854,16.979534536070613,0.49890222162222403
2019-01-03 08:40:00,20.0,엘렌실라 달팽이크림(콜라겐5+ 마스크/팩 트3),이미용,79000,1,3,8,Thursday,0,3,Later,엘렌실라,40,17.404790646855457,해당없음,해당없음,마스크/팩,16.51433323596586,1.1966036492897854,16.979534536070613,0.49890222162222403
2019-01-03 13:00:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,3,13,Thursday,0,2,First,비버리힐스폴로클럽,00,17.225766784114775,해당없음,남성,스킨케어,17.165723868085042,0.5900019586948659,17.33396801124264,0.23228852899213664
2019-01-03 13:20:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,3,13,Thursday,0,2,Middle,비버리힐스폴로클럽,20,17.545268005030525,해당없음,남성,스킨케어,17.165723868085042,0.5900019586948659,17.33396801124264,0.23228852899213664
2019-01-03 13:40:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,3,13,Thursday,0,2,Later,비버리힐스폴로클럽,40,17.617316830933422,해당없음,남성,스킨케어,17.165723868085042,0.5900019586948659,17.33396801124264,0.23228852899213664
2019-01-04 20:00:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,4,20,Friday,0,3,First,비버리힐스폴로클럽,00,17.323826908299118,해당없음,남성,스킨케어,17.89695795578742,0.30675387459931414,17.89695795578742,0.30675387459931414
2019-01-04 20:20:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,4,20,Friday,0,3,Middle,비버리힐스폴로클럽,20,17.704019256327353,해당없음,남성,스킨케어,17.89695795578742,0.30675387459931414,17.89695795578742,0.30675387459931414
2019-01-04 20:40:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,4,20,Friday,0,3,Later,비버리힐스폴로클럽,40,18.187322701897838,해당없음,남성,스킨케어,17.89695795578742,0.30675387459931414,17.89695795578742,0.30675387459931414
2019-01-05 00:00:00,20.0,스포메틱스 리얼핏 모이스춰라이징 스킨케어,이미용,49900,1,5,0,Saturday,1,4,First,스포메틱스,00,16.201885176688002,해당없음,해당없음,스킨케어,17.112836591604403,0.6798519222115188,16.724080481993003,0.4524599736559014
2019-01-05 00:20:00,20.0,스포메틱스 리얼핏 모이스춰라이징 스킨케어,이미용,49900,1,5,0,Saturday,1,4,Middle,스포메틱스,20,16.99946362024321,해당없음,해당없음,스킨케어,17.112836591604403,0.6798519222115188,16.724080481993003,0.4524599736559014
2019-01-05 00:40:00,20.0,스포메틱스 리얼핏 모이스춰라이징 스킨케어,이미용,49900,1,5,0,Saturday,1,4,Later,스포메틱스,40,16.9708926490478,해당없음,해당없음,스킨케어,17.112836591604403,0.6798519222115188,16.724080481993003,0.4524599736559014
2019-01-05 06:00:00,20.0,스칼프솔루션 헤어케어 패키지,이미용,50900,1,5,6,Saturday,1,4,First,스칼프솔루션,00,15.420136913401153,해당없음,해당없음,헤어케어,16.631834532386357,0.5545761256372528,16.57401694892183,0.7759624002804066
2019-01-05 06:20:00,20.0,스칼프솔루션 헤어케어 패키지,이미용,50900,1,5,6,Saturday,1,4,Middle,스칼프솔루션,20,16.282253237124603,해당없음,해당없음,헤어케어,16.631834532386357,0.5545761256372528,16.57401694892183,0.7759624002804066
2019-01-05 06:40:00,20.0,스칼프솔루션 헤어케어 패키지,이미용,50900,1,5,6,Saturday,1,4,Later,스칼프솔루션,40,16.7250311346992,해당없음,해당없음,헤어케어,16.631834532386357,0.5545761256372528,16.57401694892183,0.7759624002804066
2019-01-06 00:00:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,6,0,Sunday,1,4,First,비버리힐스폴로클럽,00,17.144674736726596,해당없음,남성,스킨케어,17.152698937930634,0.911917741911154,17.564593688594694,0.36375870702043644
2019-01-06 00:20:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,6,0,Sunday,1,4,First,비버리힐스폴로클럽,20,17.783006112516244,해당없음,남성,스킨케어,17.152698937930634,0.911917741911154,17.564593688594694,0.36375870702043644
2019-01-06 00:40:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,6,0,Sunday,1,4,First,비버리힐스폴로클럽,40,17.766100216541236,해당없음,남성,스킨케어,17.152698937930634,0.911917741911154,17.564593688594694,0.36375870702043644
2019-01-06 07:00:00,20.0,마리끌레르 파리컬렉션 리얼 하이드로 색조메이크업 (리뉴얼),이미용,39900,1,6,7,Sunday,1,2,First,마리끌레르,00,16.21313306629307,해당없음,해당없음,색조메이크업,17.20148552486602,0.5321127842120438,16.853745826820923,0.5715166030988602
2019-01-06 07:20:00,20.0,마리끌레르 파리컬렉션 리얼 하이드로 색조메이크업 (리뉴얼),이미용,39900,1,6,7,Sunday,1,2,Middle,마리끌레르,20,17.036783507432197,해당없음,해당없음,색조메이크업,17.20148552486602,0.5321127842120438,16.853745826820923,0.5715166030988602
2019-01-06 07:40:00,20.0,마리끌레르 파리컬렉션 리얼 하이드로 색조메이크업 (리뉴얼),이미용,39900,1,6,7,Sunday,1,2,Later,마리끌레르,40,17.311320906737492,해당없음,해당없음,색조메이크업,17.20148552486602,0.5321127842120438,16.853745826820923,0.5715166030988602
2019-01-06 14:00:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,6,14,Sunday,1,2,Middle,비버리힐스폴로클럽,00,17.47034189793864,해당없음,남성,스킨케어,17.768644495405802,0.4015538671062476,17.768644495405802,0.4015538671062476
2019-01-06 14:20:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,6,14,Sunday,1,2,Middle,비버리힐스폴로클럽,20,17.816825670871182,해당없음,남성,스킨케어,17.768644495405802,0.4015538671062476,17.768644495405802,0.4015538671062476
2019-01-06 14:40:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,6,14,Sunday,1,2,Later,비버리힐스폴로클럽,40,18.07713353865919,해당없음,남성,스킨케어,17.768644495405802,0.4015538671062476,17.768644495405802,0.4015538671062476
2019-01-07 07:00:00,20.0,엘렌실라 달팽이크림(콜라겐5+ 마스크/팩 트3),이미용,79000,1,7,7,Monday,0,2,First,엘렌실라,00,16.413299364808946,해당없음,해당없음,마스크/팩,16.735702592095084,0.28271308295700265,16.704299329332294,0.2798926570431478
2019-01-07 07:20:00,20.0,엘렌실라 달팽이크림(콜라겐5+ 마스크/팩 트3),이미용,79000,1,7,7,Monday,0,2,Middle,엘렌실라,20,16.72802425276733,해당없음,해당없음,마스크/팩,16.735702592095084,0.28271308295700265,16.704299329332294,0.2798926570431478
2019-01-07 07:40:00,20.0,엘렌실라 달팽이크림(콜라겐5+ 마스크/팩 트3),이미용,79000,1,7,7,Monday,0,2,Later,엘렌실라,40,16.971574370420605,해당없음,해당없음,마스크/팩,16.735702592095084,0.28271308295700265,16.704299329332294,0.2798926570431478
2019-01-07 09:00:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,7,9,Monday,0,1,First,비버리힐스폴로클럽,00,16.64872390202049,해당없음,남성,스킨케어,17.100366593050154,0.40146912041968297,17.23795145522538,0.32806804758158753
2019-01-07 09:20:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,7,9,Monday,0,1,Middle,비버리힐스폴로클럽,20,16.99751490805657,해당없음,남성,스킨케어,17.100366593050154,0.40146912041968297,17.23795145522538,0.32806804758158753
2019-01-07 09:40:00,20.0,비버리힐스폴로클럽 남성 스킨케어 (2018FW골드),이미용,39800,1,7,9,Monday,0,1,Later,비버리힐스폴로클럽,40,17.60165282969842,해당없음,남성,스킨케어,17.100366593050154,0.40146912041968297,17.23795145522538,0.32806804758158753
